cpu_usage,memory_usage,net_io,disk_io,cloud_provider,region,vm_type,vCPU,RAM_GB,price_per_hour,latency_ms,throughput,cost,utilization,target
71.0,32.71,442.87,251.97,2,1,0,1,1.0,0.012,248.88,1029.59,0.018,51.86,0
75.55,41.12,351.99,824.89,0,2,2,1,1.0,0.0116,240.37,1195.69,0.0174,58.33,0
20.22,70.44,284.14,795.09,1,0,2,1,1.0,0.0116,266.46,909.98,0.0174,45.33,0
53.28,69.62,103.33,360.0,2,1,2,1,1.0,0.0116,245.99,1219.94,0.0174,61.45,0
39.19,70.88,317.41,642.84,0,2,0,1,1.0,0.012,252.32,1189.79,0.018,55.03,0
95.29,29.69,196.8,780.57,1,0,1,1,3.75,0.0475,253.1,1173.28,0.1366,62.49,2
28.05,54.24,78.89,623.77,2,2,1,1,3.75,0.0475,267.26,790.27,0.1366,41.15,0
98.2,64.17,312.09,773.27,0,2,0,1,1.0,0.012,224.2,1677.33,0.018,81.19,2
65.35,99.1,113.04,566.5,0,0,1,1,3.75,0.0475,221.35,1672.54,0.1366,82.22,2
74.93,94.72,446.74,563.67,0,2,1,1,3.75,0.0475,218.52,1770.4,0.1366,84.83,2
23.19,24.37,405.54,654.66,1,2,1,1,3.75,0.0475,277.48,452.14,0.1366,23.78,1
32.9,11.16,293.13,866.04,1,1,2,1,1.0,0.0116,278.77,468.3,0.0174,22.03,0
34.96,26.93,258.66,418.02,1,1,0,1,1.0,0.012,261.46,626.42,0.018,30.95,0
68.06,11.53,482.17,140.13,1,1,0,1,1.0,0.012,267.43,801.49,0.018,39.8,0
91.74,78.28,318.72,688.72,0,2,2,1,1.0,0.0116,216.9,1747.27,0.0174,85.01,2
95.55,61.61,334.33,503.6,0,2,2,1,1.0,0.0116,211.36,1510.89,0.0174,78.58,2
75.11,10.81,315.25,651.96,1,2,2,1,1.0,0.0116,244.12,893.69,0.0174,42.96,0
89.85,52.5,103.82,741.92,2,2,2,1,1.0,0.0116,232.44,1500.4,0.0174,71.17,2
94.79,36.84,398.98,453.81,0,2,2,1,1.0,0.0116,238.43,1318.27,0.0174,65.81,2
71.96,49.13,160.88,837.19,1,2,0,1,1.0,0.012,245.78,1259.53,0.018,60.55,0
46.58,79.47,267.74,907.78,2,2,0,1,1.0,0.012,230.89,1290.13,0.018,63.02,0
99.67,43.15,251.87,749.86,0,2,1,1,3.75,0.0475,230.84,1474.83,0.1366,71.41,2
64.71,78.84,415.84,746.31,1,2,2,1,1.0,0.0116,235.81,1449.56,0.0174,71.78,0
36.52,11.29,382.04,850.73,1,2,2,1,1.0,0.0116,269.68,499.7,0.0174,23.91,0
13.28,14.75,425.37,206.18,0,1,1,1,3.75,0.0475,285.19,251.34,0.1366,14.02,1
80.6,63.87,236.36,962.15,2,0,2,1,1.0,0.0116,250.49,1489.15,0.0174,72.23,0
23.22,40.84,439.1,239.43,2,0,1,1,3.75,0.0475,267.66,598.18,0.1366,32.03,0
45.5,88.04,159.8,970.06,2,0,0,1,1.0,0.012,240.83,1320.81,0.018,66.77,2
60.71,66.22,438.99,628.24,2,0,2,1,1.0,0.0116,237.98,1270.5,0.0174,63.47,0
59.18,32.48,204.47,866.84,2,0,1,1,3.75,0.0475,261.18,1057.33,0.1366,45.83,0
37.61,41.77,329.58,400.64,1,0,0,1,1.0,0.012,254.02,870.49,0.018,39.69,0
10.57,35.83,327.62,983.07,2,1,2,1,1.0,0.0116,263.2,501.31,0.0174,23.2,0
36.69,74.3,391.55,192.26,0,2,1,1,3.75,0.0475,264.46,1265.4,0.1366,55.49,0
68.26,21.55,342.58,984.23,0,0,0,1,1.0,0.012,253.84,940.44,0.018,44.91,0
72.29,15.61,279.24,997.03,0,1,2,1,1.0,0.0116,260.42,938.53,0.0174,43.95,0
48.88,98.23,80.38,566.83,0,0,1,1,3.75,0.0475,224.14,1424.89,0.1366,73.56,2
31.63,18.55,191.71,186.98,2,0,0,1,1.0,0.012,289.1,377.41,0.018,25.09,0
21.41,45.26,123.2,760.93,1,0,0,1,1.0,0.012,288.32,726.23,0.018,33.34,0
89.29,89.46,346.57,290.11,2,0,0,1,1.0,0.012,216.92,1747.28,0.018,89.38,2
70.69,98.2,493.52,718.01,1,2,0,1,1.0,0.012,222.98,1657.02,0.018,84.44,2
71.51,63.43,389.67,378.52,0,0,0,1,1.0,0.012,210.83,1289.69,0.018,67.47,0
87.22,99.79,158.67,136.32,2,0,2,1,1.0,0.0116,196.33,1857.9,0.0174,93.5,2
42.56,57.18,351.83,342.5,1,2,1,1,3.75,0.0475,253.0,990.04,0.1366,49.87,0
17.31,99.33,120.29,989.58,1,0,0,1,1.0,0.012,250.61,1257.88,0.018,58.32,2
26.97,70.52,489.65,191.7,0,1,0,1,1.0,0.012,251.02,966.18,0.018,48.74,0
11.17,17.7,143.55,123.88,2,0,0,1,1.0,0.012,288.83,226.14,0.018,14.43,1
20.79,76.14,289.15,359.15,1,1,1,1,3.75,0.0475,232.41,965.87,0.1366,48.47,0
10.67,48.04,373.13,498.42,2,0,2,1,1.0,0.0116,261.77,625.69,0.0174,29.36,0
36.99,67.85,320.43,726.47,2,2,2,1,1.0,0.0116,258.49,1025.25,0.0174,52.42,0
72.04,32.71,188.5,652.27,2,0,0,1,1.0,0.012,263.52,1076.2,0.018,52.38,0
79.21,95.03,432.34,322.61,1,1,0,1,1.0,0.012,202.2,1735.28,0.018,87.12,2
87.18,18.76,367.87,411.02,2,0,1,1,3.75,0.0475,253.68,1031.75,0.1366,52.97,2
64.05,56.41,463.73,547.27,2,1,1,1,3.75,0.0475,240.59,1199.66,0.1366,60.23,0
25.38,70.18,468.22,601.09,0,1,1,1,3.75,0.0475,235.53,982.77,0.1366,47.78,0
34.28,15.14,289.03,942.95,0,1,1,1,3.75,0.0475,282.62,490.16,0.1366,24.71,0
62.95,45.79,488.21,589.78,1,0,2,1,1.0,0.0116,255.15,1036.34,0.0174,54.37,0
15.24,33.6,246.23,241.21,1,1,2,1,1.0,0.0116,281.68,410.63,0.0174,24.42,0
41.33,43.46,50.61,369.82,0,0,0,1,1.0,0.012,259.25,850.44,0.018,42.39,0
96.23,43.11,197.12,234.0,2,2,2,1,1.0,0.0116,237.55,1374.76,0.0174,69.67,2
97.47,56.14,180.89,522.47,1,2,0,1,1.0,0.012,218.87,1575.79,0.018,76.81,2
36.83,38.84,123.93,804.85,2,1,1,1,3.75,0.0475,265.33,712.44,0.1366,37.84,0
58.92,17.36,256.24,536.23,2,2,2,1,1.0,0.0116,266.23,808.0,0.0174,38.14,0
40.16,76.92,122.34,836.17,2,1,0,1,1.0,0.012,241.75,1234.72,0.018,58.54,0
56.3,17.66,296.99,441.98,0,0,1,1,3.75,0.0475,247.41,814.77,0.1366,36.98,0
94.27,15.76,421.13,363.14,1,2,0,1,1.0,0.012,241.11,1098.03,0.018,55.02,2
21.41,87.99,317.11,214.4,2,1,0,1,1.0,0.012,233.47,1081.36,0.018,54.7,2
95.63,25.79,305.48,621.38,0,2,1,1,3.75,0.0475,261.48,1206.25,0.1366,60.71,2
75.16,20.85,456.1,159.8,0,2,0,1,1.0,0.012,240.56,965.53,0.018,48.0,0
97.19,53.58,78.62,596.52,2,0,1,1,3.75,0.0475,206.41,1472.41,0.1366,75.38,2
40.36,84.48,50.27,377.04,2,1,0,1,1.0,0.012,229.76,1210.41,0.018,62.42,0
28.17,70.61,486.46,184.51,1,1,2,1,1.0,0.0116,244.37,1083.5,0.0174,49.39,0
83.15,95.25,493.7,778.04,0,0,2,1,1.0,0.0116,203.62,1773.33,0.0174,89.2,2
82.01,28.36,299.79,759.76,1,2,1,1,3.75,0.0475,232.86,1125.93,0.1366,55.19,0
96.94,78.49,477.85,732.29,1,2,0,1,1.0,0.012,206.11,1738.5,0.018,87.72,2
63.16,69.49,85.31,590.05,1,2,0,1,1.0,0.012,225.37,1352.63,0.018,66.32,0
67.07,16.38,164.48,425.67,1,0,1,1,3.75,0.0475,252.16,832.65,0.1366,41.72,0
69.94,84.04,55.98,587.81,1,0,2,1,1.0,0.0116,222.2,1381.28,0.0174,76.99,0
76.47,15.74,224.25,354.49,2,0,1,1,3.75,0.0475,267.41,966.41,0.1366,46.1,0
18.34,77.35,461.55,490.62,1,0,1,1,3.75,0.0475,247.79,876.57,0.1366,47.84,0
69.68,63.58,236.82,479.97,2,1,2,1,1.0,0.0116,227.15,1361.74,0.0174,66.63,0
13.51,70.02,195.36,908.13,0,0,2,1,1.0,0.0116,254.94,871.89,0.0174,41.77,0
50.93,56.4,269.98,700.18,1,2,2,1,1.0,0.0116,257.42,1021.3,0.0174,53.66,0
11.19,56.06,396.25,941.32,0,2,0,1,1.0,0.012,264.73,683.1,0.018,33.62,0
21.97,24.29,477.17,891.64,2,2,0,1,1.0,0.012,271.05,403.91,0.018,23.13,1
12.75,13.36,420.17,424.17,1,2,0,1,1.0,0.012,287.59,207.21,0.018,13.05,1
98.57,70.11,335.6,249.36,2,1,2,1,1.0,0.0116,213.79,1736.09,0.0174,84.34,2
88.14,75.45,384.22,482.94,2,0,0,1,1.0,0.012,205.95,1562.68,0.018,81.8,2
16.39,28.97,153.21,522.2,2,2,2,1,1.0,0.0116,272.41,439.36,0.0174,22.68,1
53.8,88.61,455.32,479.55,0,1,0,1,1.0,0.012,235.32,1345.28,0.018,71.2,2
21.07,60.28,204.43,756.26,2,0,0,1,1.0,0.012,269.02,834.86,0.018,40.67,0
17.29,29.82,357.47,168.52,2,1,1,1,3.75,0.0475,276.28,530.52,0.1366,23.55,1
25.6,90.71,86.11,572.06,0,1,0,1,1.0,0.012,244.55,1160.59,0.018,58.16,2
28.38,66.41,211.43,996.08,0,1,0,1,1.0,0.012,232.43,806.28,0.018,47.39,0
88.47,61.93,205.47,822.71,1,1,0,1,1.0,0.012,216.64,1507.91,0.018,75.2,2
40.37,88.36,87.59,290.01,1,1,2,1,1.0,0.0116,206.57,1268.56,0.0174,64.36,2
21.76,81.15,106.17,814.79,0,2,1,1,3.75,0.0475,254.76,1010.62,0.1366,51.46,0
93.22,88.96,166.07,693.99,2,2,2,1,1.0,0.0116,211.18,1887.16,0.0174,91.09,2
68.91,34.59,477.89,235.95,1,0,0,1,1.0,0.012,254.75,1030.04,0.018,51.75,0
72.74,17.49,438.33,532.5,1,1,2,1,1.0,0.0116,255.75,864.95,0.0174,45.11,0
96.65,16.8,214.56,302.84,2,0,2,1,1.0,0.0116,239.52,1118.61,0.0174,56.73,2
40.54,55.53,122.87,692.29,2,1,0,1,1.0,0.012,240.43,876.33,0.018,48.03,0
64.66,17.97,354.59,157.69,1,2,2,1,1.0,0.0116,273.78,856.58,0.0174,41.31,0
68.75,31.44,94.75,318.85,2,2,2,1,1.0,0.0116,257.01,1024.11,0.0174,50.09,0
56.93,16.16,217.0,928.69,2,0,1,1,3.75,0.0475,274.18,849.09,0.1366,36.55,0
15.73,84.82,319.54,203.44,0,0,2,1,1.0,0.0116,259.48,1030.55,0.0174,50.27,0
94.96,23.39,258.2,982.89,2,1,1,1,3.75,0.0475,252.09,1180.93,0.1366,59.17,2
33.82,69.58,416.72,800.22,2,1,2,1,1.0,0.0116,241.33,1063.1,0.0174,51.7,0
39.73,60.78,432.76,281.38,0,2,2,1,1.0,0.0116,251.6,1026.37,0.0174,50.25,0
26.25,61.12,461.97,130.55,0,2,0,1,1.0,0.012,245.5,926.36,0.018,43.69,0
69.42,35.19,479.69,764.11,1,2,0,1,1.0,0.012,268.92,1097.72,0.018,52.3,0
73.65,23.73,309.33,646.04,0,2,0,1,1.0,0.012,267.24,948.24,0.018,48.69,0
98.89,13.61,440.16,620.81,1,0,1,1,3.75,0.0475,260.59,1102.06,0.1366,56.25,2
79.39,54.44,285.23,484.79,0,2,2,1,1.0,0.0116,233.96,1323.35,0.0174,66.91,0
82.9,31.45,150.97,554.05,0,1,2,1,1.0,0.0116,244.47,1253.31,0.0174,57.18,0
98.85,23.54,317.36,442.8,0,1,2,1,1.0,0.0116,237.66,1285.79,0.0174,61.19,2
45.87,65.43,335.79,140.77,2,0,2,1,1.0,0.0116,258.76,1041.21,0.0174,55.65,0
42.42,34.34,429.22,382.01,0,1,1,1,3.75,0.0475,264.25,777.28,0.1366,38.38,0
23.83,61.53,174.66,929.18,1,2,1,1,3.75,0.0475,274.87,932.25,0.1366,42.68,0
27.96,71.22,82.49,127.59,0,0,2,1,1.0,0.0116,247.84,908.37,0.0174,49.59,0
95.05,70.62,79.2,519.15,0,1,1,1,3.75,0.0475,215.31,1576.73,0.1366,82.84,2
88.04,92.19,280.1,551.36,0,2,2,1,1.0,0.0116,215.59,1859.08,0.0174,90.12,2
35.58,36.01,219.67,453.99,2,2,0,1,1.0,0.012,252.03,723.87,0.018,35.8,0
35.05,81.85,196.81,369.45,2,2,0,1,1.0,0.012,236.68,1151.4,0.018,58.45,0
68.97,33.42,121.77,244.42,1,2,0,1,1.0,0.012,256.71,1040.9,0.018,51.2,0
85.98,82.51,313.41,881.44,0,0,0,1,1.0,0.012,213.16,1675.08,0.018,84.25,2
27.03,74.83,280.0,643.88,1,1,1,1,3.75,0.0475,261.82,1011.01,0.1366,50.93,0
39.54,49.06,89.87,298.55,2,2,0,1,1.0,0.012,270.83,917.54,0.018,44.3,0
57.67,31.77,91.9,907.49,1,2,0,1,1.0,0.012,257.88,933.49,0.018,44.72,0
26.61,28.84,216.71,536.07,0,0,0,1,1.0,0.012,257.12,622.84,0.018,27.73,1
74.1,25.83,155.92,544.93,1,0,1,1,3.75,0.0475,254.24,970.4,0.1366,49.96,0
95.86,64.56,152.89,704.53,0,1,2,1,1.0,0.0116,204.45,1668.08,0.0174,80.21,2
12.02,42.44,402.68,609.56,1,1,0,1,1.0,0.012,283.59,478.99,0.018,27.23,0
27.31,13.68,126.02,350.73,0,1,0,1,1.0,0.012,278.43,358.14,0.018,20.49,1
50.97,70.1,426.82,252.76,0,2,0,1,1.0,0.012,255.01,1253.4,0.018,60.53,0
63.43,10.91,336.24,921.96,1,2,1,1,3.75,0.0475,272.36,757.76,0.1366,37.17,0
88.13,25.94,361.68,854.3,2,1,1,1,3.75,0.0475,244.47,1158.95,0.1366,57.03,2
51.32,37.3,469.65,206.78,0,1,1,1,3.75,0.0475,257.59,908.66,0.1366,44.31,0
70.53,77.71,406.21,810.66,1,0,2,1,1.0,0.0116,225.76,1437.54,0.0174,74.12,0
16.64,59.85,486.19,570.79,1,0,1,1,3.75,0.0475,276.27,812.86,0.1366,38.25,0
27.55,55.44,395.94,155.75,0,1,2,1,1.0,0.0116,248.66,839.83,0.0174,41.49,0
74.1,31.35,196.43,771.84,0,2,1,1,3.75,0.0475,256.91,1075.14,0.1366,52.72,0
58.66,67.37,376.74,978.27,0,0,1,1,3.75,0.0475,216.73,1269.62,0.1366,63.02,0
63.25,73.24,156.85,561.13,1,1,2,1,1.0,0.0116,229.29,1322.74,0.0174,68.25,0
14.68,20.23,51.76,999.51,2,1,2,1,1.0,0.0116,288.42,380.09,0.0174,17.45,1
92.66,95.58,309.71,421.41,2,2,1,1,3.75,0.0475,199.03,1921.93,0.1366,94.12,2
63.21,45.91,74.64,401.68,2,2,2,1,1.0,0.0116,235.32,1008.46,0.0174,54.56,0
23.14,94.43,462.94,898.72,2,2,1,1,3.75,0.0475,253.03,1199.75,0.1366,58.79,2
78.11,49.81,368.33,450.31,0,2,1,1,3.75,0.0475,241.04,1209.23,0.1366,63.96,0
66.56,71.98,163.97,108.98,1,2,0,1,1.0,0.012,233.54,1473.33,0.018,69.27,0
75.83,84.2,115.9,849.64,2,0,1,1,3.75,0.0475,231.99,1607.32,0.1366,80.02,0
49.65,87.13,357.89,894.2,1,0,0,1,1.0,0.012,235.03,1354.23,0.018,68.39,2
22.04,95.8,82.7,279.18,0,1,1,1,3.75,0.0475,253.15,1102.04,0.1366,58.92,2
32.36,76.96,65.09,612.9,0,1,0,1,1.0,0.012,250.13,1109.88,0.018,54.66,0
73.79,10.75,147.95,695.52,0,0,2,1,1.0,0.0116,255.72,845.07,0.0174,42.27,0
60.93,91.72,228.34,366.69,1,2,0,1,1.0,0.012,222.94,1522.72,0.018,76.33,2
95.44,37.46,125.99,514.61,0,0,1,1,3.75,0.0475,238.41,1231.53,0.1366,66.45,2
15.91,59.45,315.89,687.46,1,1,2,1,1.0,0.0116,254.92,686.87,0.0174,37.68,0
22.97,66.16,173.14,539.05,2,1,2,1,1.0,0.0116,254.63,849.65,0.0174,44.56,0
76.75,54.33,267.43,854.41,0,0,0,1,1.0,0.012,243.97,1292.47,0.018,65.54,0
21.09,37.69,466.73,245.53,1,2,1,1,3.75,0.0475,273.81,670.48,0.1366,29.39,0
20.04,56.43,170.42,851.93,2,1,1,1,3.75,0.0475,259.48,714.98,0.1366,38.23,0
60.75,55.03,81.23,180.89,2,0,0,1,1.0,0.012,225.42,1210.74,0.018,57.89,0
46.07,60.37,119.86,263.74,0,0,2,1,1.0,0.0116,232.7,1025.51,0.0174,53.22,0
33.08,41.98,353.3,156.31,0,2,1,1,3.75,0.0475,268.42,722.73,0.1366,37.53,0
18.23,66.31,297.74,466.63,2,1,0,1,1.0,0.012,267.31,847.98,0.018,42.27,0
22.58,81.57,140.73,247.29,2,1,2,1,1.0,0.0116,251.87,1020.45,0.0174,52.07,0
29.41,69.3,227.24,686.11,1,2,1,1,3.75,0.0475,253.67,949.39,0.1366,49.35,0
48.95,51.19,144.0,431.84,0,2,0,1,1.0,0.012,244.85,994.01,0.018,50.07,0
95.54,62.35,246.48,622.08,0,1,2,1,1.0,0.0116,237.23,1584.12,0.0174,78.95,2
69.76,40.45,470.99,920.99,0,1,0,1,1.0,0.012,252.21,1129.02,0.018,55.11,0
72.33,22.1,184.73,422.84,0,2,0,1,1.0,0.012,246.52,987.42,0.018,47.22,0
36.62,10.1,172.38,296.1,2,0,1,1,3.75,0.0475,288.51,539.02,0.1366,23.36,0
91.55,11.09,353.31,146.65,0,0,1,1,3.75,0.0475,230.92,1046.83,0.1366,51.32,2
82.05,28.01,125.37,194.11,1,1,1,1,3.75,0.0475,258.96,1146.83,0.1366,55.03,0
65.76,69.71,426.33,293.92,0,1,0,1,1.0,0.012,232.3,1416.2,0.018,67.73,0
56.1,53.86,331.29,951.57,1,1,1,1,3.75,0.0475,256.84,1216.78,0.1366,54.98,0
87.98,15.37,361.42,225.99,1,0,2,1,1.0,0.0116,261.12,922.66,0.0174,51.68,2
96.46,27.72,478.14,995.34,0,0,2,1,1.0,0.0116,221.93,1264.91,0.0174,62.09,2
98.61,69.98,178.43,627.23,1,1,2,1,1.0,0.0116,220.51,1633.14,0.0174,84.3,2
94.52,81.89,499.07,415.64,1,2,0,1,1.0,0.012,206.62,1834.57,0.018,88.2,2
98.11,47.87,275.88,918.94,0,0,0,1,1.0,0.012,233.2,1541.72,0.018,72.99,2
55.5,55.7,112.27,984.47,0,0,0,1,1.0,0.012,242.59,1106.68,0.018,55.6,0
29.84,66.31,307.22,266.35,1,2,2,1,1.0,0.0116,253.38,930.79,0.0174,48.08,0
66.68,46.29,388.58,578.16,0,2,0,1,1.0,0.012,236.18,1220.6,0.018,56.48,0
20.27,23.61,151.39,325.87,1,2,1,1,3.75,0.0475,280.07,496.23,0.1366,21.94,1
30.51,48.44,418.11,874.66,2,0,2,1,1.0,0.0116,260.58,777.77,0.0174,39.48,0
40.35,22.86,361.43,285.63,0,2,1,1,3.75,0.0475,276.98,620.37,0.1366,31.61,0
28.39,55.7,238.67,116.31,0,2,2,1,1.0,0.0116,284.16,785.3,0.0174,42.05,0
69.02,58.35,354.71,714.4,1,1,0,1,1.0,0.012,222.44,1311.89,0.018,63.69,0
64.05,69.85,128.92,922.97,1,0,1,1,3.75,0.0475,214.64,1275.02,0.1366,66.95,0
34.76,67.52,203.43,997.91,0,0,1,1,3.75,0.0475,239.85,974.59,0.1366,51.14,0
22.95,10.78,58.99,627.94,0,2,2,1,1.0,0.0116,294.6,195.42,0.0174,16.86,1
15.94,97.53,212.03,530.08,1,0,1,1,3.75,0.0475,256.96,1080.4,0.1366,56.73,2
